journey,stage,team,description
onboarding,signup/login,LFC,"this is where the potential partner uploads the phone number of the owner. there is a check run by the system to see if the number has been used before.

if driver is logging in to existing account - they're sent an otp, and then taken to home screen
if driver wants to do a new onboarding - if the number isn't assigned/used on any vehicle, they're taken to the onboarding flow into document verification. if the number is used before but they want to onboard a new vehicle, error is shown"
onboarding,document upload,LFC,"there are a few documents that anyone wanting to get onboarded needs to upload
- aadhaar card - this is an id proof 
- pan card - this is an id proof which is used in financial context
- owner selfie - selfie by the owner of the vehicle

all the documents should be of the owner. owner is defined by who owns the vehicle. generally in porter, in 90% of the cases owner and driver are the same and are referred to as partners. but in 10% cases, owners and drivers are different, although they're still both called partners

there is a basic level of check applied here from the backend - if the document is unclear, or has glare, or any other such basic level issues with the quality of the image itself, documents can be autorejected. if they're accepted the user goes forward in the flow"
onboarding,vehicle details,LFC,"vehicle details are entered here. it consists of details such as the registration number, type of vehicle, engine type, city to be onboarded in, etc. this is an indicative list

if the vehicle details are already present in the system, then an error is shown that a vehicle is already registered on the Porter system. Also, if the city and/or the vehicle is not currently being onboarded or the vehicle type is not operated by Porter - an error is thrown to the person doing the onboarding"
onboarding,driver details,LFC,"there are 2 details that need to be input, and 1 document that needs to be submitted
the details are the 
- phone number of driver - in case owner and driver are different, this will be different from owner number used at signup stage, and will belong to the driver. if the owner and driver are the same, the same details will be used
- name of driver

the document is the driver's license - again this will be auto-rejected if there are basic problems such as details not clear, illegible info, glare etc. , else the person can move forward in the flow"
onboarding,documents submitted,LFC,"once all the documents and details are submitted, the process is in the verification flow

all the documents will need to be checked by a human before the account can be created"
onboarding,document approval,LFC,"all documents are checked by a human sitting in an office. this is the stage where details are actually checked for accuracy, and against government databases. the human also checks if the details that are expected to be consistent are consistent across all the documents

if everything is alright, then the human approves it, and the user can complete the rest of the steps, and can start taking orders after the completion of other steps which are all user dependent, and don't require further approvals"
onboarding,training videos,LFC,"these are a set of videos which the driver is supposed to complete before they can start working

it is a set of 5 videos, which are to be completed in a sequence"
onboarding,registration fee,LFC,"this is a fee that users need to pay before they start working

in some cities, there is also a waitlisting fee that needs to be paid

a registration fee will allow the user to start working. a waitlisting fee will only put them on the waitlist, and send a notification once they can start being onboarded"
onboarding,dummy order,LFC,"this is a simulated order to give an idea of how to accept an order, and complete the order end to end

there is a trial order which rings, and the user has to accept it, and complete it. there is a helper text and background audio helping the user take the requisite actions"
onboarding,stage 2 documents,LFC,"these are a set of documents as part of operating on Porter, but not at the onboarding stage. Users have to uploaded these documents through a section on the home screen within 14 days of being onboarded. if they fail to upload documents within that time period, their accounts get suspended. different documents are required by different partners but below is an indicative list

- local address proof - this needs to a rent agreement or any proof indicating where their current address is. only required when the address on the aadhaar card does not belong to their city of operation
- add bank proof - this are bank details like account number, ifsc code, name, along with the photo of a passbook/ cancelled cheque as proof
- police clearance - if there are reported police cases, then a police clearance ceritificate may also be required. this may be asked at any time depending if there is a police case, and is not just specific to onboarding"
ready to take orders,go online,LFC,"there are 2 modes - online and offline

when the partner is offline, the CTA shows go online, and has to swipe go online to go online"
order allocation,receive order notification,Marketplace,"receiving an order has 2 components - one is the aural feedback by ringing, and the other is the visual notification displaying the pickup address, drop address, fare, any special value-added services added on top of it

if things are working properly, a partner will be able to see both the notification and hear the ring. sometimes there will be a ring, and no notification. sometimes neither of them happen, but a partner sees that missed an order in the notifications (and this is a claim which can validated only after further investigation)"
order allocation,fare calculation for notification,Marketplace,"a fare is calculated to be shown on the notification. this fare picks up from various components - base fare, surge charge due to supply outage/weather, distance fare

even though partners may use Rupees per kilometre as a metric, our internal fare calculation isn't done that way. it's a mix of various distance, weather, calculated path, and supply-demand conditions rather than a simple rule based pricing"
order allocation,location information,Marketplace,"the pickup and drop addresses are also shown on the notification to the partner, along with the distance to pickup

the pickup and drop addresses are fetched from Google, so they may be complete/partial/be something cryptic"
order allocation,allocation logic,Marketplace,"there is a system which decides which partner to allocate the order to, essentially determining which partners get to see the order on their device. multiple partners are displayed the order at the same time

this is decided by a number of factors
- by distance, that is the radial distance of partners from the pickup point, a radius of x km is first scanned. this specific distance changes based on the vehicle category, city. this threshold is expanded if partners in the previous bucket don't accept/ sufficient partners aren't found
- previous behaviour of partner - likelihood partner will do this order based on a probability model trained upon their past behaviour. this captures behaviour related to their acceptance/rejection behaviour based on pick distance, fare, time of day, pickup location area, drop location area etc. it outputs a probability, those with higher probabilities will be shown order earlier"
